content,score
kok layarnya gak bisa dimiringin,1
ok,5
"saya dah bolak balik cari aplikasi nonton tv , hanya di vidio yg paling bagus. terima kasih vidio.",5
sangat baik,4
kerennn,5
"Kenapa sering loading sih, wifi saya aman2 saja, bahkan nonton sebelah juga aman tapi kenapa setiap play vidio selalu loading begini? tolonglah vidio streamingnya ini bener2 diperbarui lagi jangkauan sinyalnya, jujur kecewa saya.",2
"awalnya nyaman pake vidio, lama² iklannya jadi rutin bgt 5mnt sekali. cape nunggunya, ditambah kalo udh iklan bango brisik bgtt jadi ga nyaman🙏🥲",1
"kebanyakan iklan, ganggu bgt serius",1
klu bisa jangan sampe loading terlalu lama yaa,5
sangat bagus apliksnya .,5
suka bgt nonton di sini karena gratis meskipun bnyk iklan,4
"apa gunanya bayar, kalau masih ada iklan. coba dijelaskan diawal kalau ada iklannya",1
"mending gw hapuss,, berbayar juga",1
gokil,5
mata duitan,1
"aplikasi gak jelas....mau lanjutin nonton gangguan terus....dikit"" gangguan dikit"" gangguan...gangguan qo dikit""",1
"kurang bgus bnyk iklannya, mna iklannya di lewati mlh nmbh smpe 10 atau lebih.",1
iklan nya GK ngontak panjang bet tu iklan Ampe 3 menit,1
"sering gangguan, bayarnya mahal ..",1
"aplikasi bosok, streaming kok kendala mulu.",1
siaran langsung suka gak lancar,1
langganan mahal kualitas layanan streaming busuk,1
"sumpahhh, sekarang paket pelajar platinum banyak banget iklannya, padahal bayar loh, tapi serasa ga berlangganan, mau nonton bola atau nonton series dikit dikit iklan, mohon dipertimbangkan yaa, iklannya banyak buangettt",1
"saya ga paham ini trik nya pihak vidio atau bagaimana. jadi saya berlangganan vidio paling cuma buat nonton HSS atau BYON aja. Tapi vidio memberikan bonus layanan 30 hari, saya ga tau kalau hal tsb otomatis akan perpanjang langganan bulan kedepan, padahal tidak ada persetujuan apapun malah ujung-ujungnya tiap bulan uang kita ditarik.",1
"iklan nya ngila-gilaan😡, durasi film 30 menit iklan 2 menit sekali , terus fungsi nya langganan premium apa ya? klo iklan masih intens ? 🫠",1
"kembalikan dana saya yang diambil tanpa sepengetahuan saya, karna saya sama sekali tidak ingin berlangganan lagi, dan saya sudah hapus apk tapi masih saja dana saya disedot tanpa sepengetahuan sama sekali",1
yg ditampilkan sama kenyataan nya beda. pas mau beli .ditampilkan untuk menarik kita .tapi sesudah kita beli paket malah Ngah dpat diakses malah di suruh beli paket yg lain lagi ..nipu ini apk,1
mantap buat stream bola,5
"JANGAN SESEKALI BERLANGGANAN DI APLIKASI BOBROK INI, SALDO E WALLET KALIAN AKAN TERPOTONG TANPA PEMBERITAHUAN SAMA SEKALI!!!",1
susah betul play streaming jaringan sudah bagus tetap susahh paket sudah beli tetap tidak memuaskan,1
bagus Sangat. saya sihh yess,5
"padahal berbayar tp streming selalu buffering klo nonton bola, payah",1
"entah menipu atau bagaimana, daftar paket tv selama 3 bulan tapi belum cukup sebulan masa berlakunya sudah habis...",1
kakk bisaa refund gak saya gasengaja berlangganan barusajaa kepotong tiba tiba,5
"udah berlangganan platinum yang extra masih aja ada iklan ternyata, ganggu banget buat di tv",2
saya berlangganan vidio. tp mau nonton movie susah Mulu. muter terus. kayanya habis paket ini mau pindah saja ke aplikasi yang lain. kecewa saya,3
bagus sih ada channel TVN Korea yg ingin gw tonton awalnya gw seneng aja no problem makin lama nonton iklannya di pertambah mlh nambah iklan indonesia kek sampah channel TVN KOREA nya gk jelas!!! di paksa masukin tu iklan indo gk guna ampe 4 tu? otak klian di mana? bsa mikir maksa masukkin iklan indo merusak channel TVN KOREA AJA!!!! MIKIR DONG PKE OTAK SBLM NGERUSAK CHANNEL TVN KOREA!!!!!,1
sudah bagus tapi koleksi anime nya sedikit,4
ngga pernah kecewa sih sportnya lengkap mau nyari f1 sama motogp selalu ada bisa liat race sebelumnya juga :),5
bagus,5
"sempet ada masalah aktivasi paket platinum, tapi vidio gercep nanggapi nya dan berusaha buat membantu, maaf sebelumnya sempet kecewa karna ini pertama kali saya menggunakan paket buat nonton di vidio. com terimakasih 🫶🫰😊",5
bagus,5
ok,5
kadang gak muncul video nya yang di tonton,1
bagus banget,5
bagus,5
bagus,5
tolong kurangin iklan untuk orang yang sudah bayar untuk berlangganan,3
Banyakin iklannya,1
